source,config,encoder,preset,quality,source_bytes,output_bytes,size_pct,encode_seconds,vmaf_mean,vmaf_min,vmaf_p1,cambi_mean,cambi_max
"/media/tv/Frieren - Beyond Journey's End/Season 1/Frieren - Beyond Journey's End - S01E05 - Phantoms of the Dead Bluray-1080p.mkv","nvenc-p7hq-22","hevc_nvenc","p7hq","22",1361706237,814704560,59.83,240,75.840644,0.000000,0.000000,0.070178,5.877408
"/media/tv/Frieren - Beyond Journey's End/Season 1/Frieren - Beyond Journey's End - S01E05 - Phantoms of the Dead Bluray-1080p.mkv","nvenc-p7hq-26","hevc_nvenc","p7hq","26",1361706237,456577052,33.53,238,75.063669,0.000000,0.000000,0.223826,6.010220
"/media/tv/Demon Slayer - Kimetsu no Yaiba/Season 1/Demon Slayer- Kimetsu no Yaiba - S01E05 - My Own Steel Bluray-1080p.mkv","x265-slow-19","libx265","slow","19",1846228371,492229729,26.66,1653,96.987879,86.948136,92.203193,0.718252,7.298849
"/media/tv/Demon Slayer - Kimetsu no Yaiba/Season 1/Demon Slayer- Kimetsu no Yaiba - S01E05 - My Own Steel Bluray-1080p.mkv","x265-slow-21","libx265","slow","21",1846228371,350264632,18.97,1564,96.615954,85.686013,90.962442,0.870905,7.487498
"/media/tv/Demon Slayer - Kimetsu no Yaiba/Season 1/Demon Slayer- Kimetsu no Yaiba - S01E05 - My Own Steel Bluray-1080p.mkv","x265-slower-20","libx265","slower","20",1846228371,408065503,22.10,5359,96.906217,86.554835,91.607903,0.616160,7.257249
"/media/tv/Demon Slayer - Kimetsu no Yaiba/Season 1/Demon Slayer- Kimetsu no Yaiba - S01E05 - My Own Steel Bluray-1080p.mkv","nvenc-p7hq-22","hevc_nvenc","p7hq","22",1846228371,532884415,28.86,230,96.666860,44.472275,90.723234,0.913537,7.981744
"/media/tv/Demon Slayer - Kimetsu no Yaiba/Season 1/Demon Slayer- Kimetsu no Yaiba - S01E05 - My Own Steel Bluray-1080p.mkv","nvenc-p7hq-26","hevc_nvenc","p7hq","26",1846228371,322128257,17.45,229,95.806566,44.508407,89.247046,1.180181,8.116827
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","x265-slow-19","libx265","slow","19",2222060920,1648323500,74.18,2031,96.911518,89.022937,94.228747,0.416284,23.686902
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","x265-slow-21","libx265","slow","21",2222060920,1156325347,52.04,1823,96.181339,86.484259,92.757646,0.463691,23.626344
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","x265-slower-20","libx265","slower","20",2222060920,1396547600,62.85,7484,96.668814,88.397653,93.756898,0.414997,23.533259
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","nvenc-p7hq-22","hevc_nvenc","p7hq","22",2222060920,1197650426,53.90,182,95.839515,44.014462,87.900023,0.743373,23.923914
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","nvenc-p7hq-26","hevc_nvenc","p7hq","26",2222060920,710846705,31.99,181,94.565558,47.053198,84.430934,0.960246,20.808209
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","x265-slow-19","libx265","slow","19",1300163196,844799540,64.98,2355,83.092382,0.000000,0.000000,0.093192,18.632509
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","x265-slow-21","libx265","slow","21",1300163196,594873814,45.75,2145,82.830162,0.000000,0.000000,0.111933,18.263745
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","x265-slower-20","libx265","slower","20",1300163196,703779081,54.13,8100,83.020942,0.000000,0.000000,0.090248,18.606599
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","nvenc-p7hq-22","hevc_nvenc","p7hq","22",1300163196,993502225,76.41,231,82.832008,0.000000,0.000000,0.175923,16.122285
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","nvenc-p7hq-26","hevc_nvenc","p7hq","26",1300163196,519010698,39.92,229,82.079152,0.000000,0.000000,0.310222,14.292327
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","x265-slow-19","libx265","slow","19",1712391412,474798425,27.73,1702,85.959627,0.000000,0.000000,1.195706,16.967522
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","x265-slow-21","libx265","slow","21",1712391412,324339777,18.94,1532,85.704073,0.000000,0.000000,1.366517,16.040583
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","x265-slower-20","libx265","slower","20",1712391412,393123402,22.96,5391,85.893912,0.000000,0.000000,1.093428,17.358716
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","nvenc-p7hq-22","hevc_nvenc","p7hq","22",1712391412,656688772,38.35,238,85.925226,0.000000,0.000000,1.196606,12.445755
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","nvenc-p7hq-26","hevc_nvenc","p7hq","26",1712391412,348303381,20.34,231,85.378996,0.000000,0.000000,1.487769,9.039489
